,level_0,level_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,N,s,eta
0,N1,s5eta5,3,3,3,3,2,2,2,2,3,3,2,2,3,3,2,3,3,2,4,3,3,2,2,3,2,3,4,3,2,2,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,2,2,3,2,2,3,2,3,3,3,4,3,2,3,3,3,4,3,3,2,3,2,2,3,2,3,3,3,2,2,2,2,3,3,3,3,2,3,2,3,3,3,2,3,3,1,5,5
1,N5,s9eta2,3,1,2,2,1,2,2,2,1,3,1,3,3,2,2,2,1,1,3,2,1,3,1,2,2,1,1,2,3,1,3,2,1,1,2,1,2,2,3,2,1,1,1,2,1,2,2,1,1,1,2,3,2,2,1,1,2,3,2,2,3,2,1,2,2,3,3,2,2,2,3,2,2,2,2,2,2,1,1,3,1,1,3,2,2,1,3,1,3,2,2,1,3,3,1,2,2,2,2,3,5,9,2
2,N2,s3eta8,1,2,1,1,1,1,2,1,1,4,1,1,1,1,1,1,3,2,1,1,1,3,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,3,8
3,N3,s9eta5,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,3,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1,2,3,1,2,3,1,1,1,2,1,1,2,1,1,3,5,2,2,2,1,2,2,1,1,1,1,3,9,5
4,N4,s1eta8,3,2,3,1,3,1,2,2,1,1,2,1,3,1,2,2,2,1,1,1,3,2,3,1,1,2,1,1,1,1,5,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,3,1,3,1,2,1,1,3,2,2,2,1,3,1,3,1,1,1,2,3,2,1,2,2,1,1,1,3,1,2,2,1,2,2,1,1,1,1,2,1,2,1,1,2,1,1,1,3,1,1,2,1,4,1,8
5,N2,s9eta8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,9,8
6,N3,s3eta5,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,2,1,1,1,2,1,2,1,2,2,1,2,1,1,2,2,1,2,1,2,2,1,2,1,2,2,2,1,2,1,1,3,2,1,1,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,3,1,1,1,2,2,2,2,1,2,2,2,1,1,3,1,2,1,1,2,1,1,1,1,1,1,2,1,2,2,3,3,5
7,N2,s1eta5,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,1,3,1,2,2,2,2,2,1,1,2,2,2,1,3,2,2,2,3,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2,1,3,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,1,2,2,1,1,3,2,1,2,2,1,2,2,2,2,2,2,2,1,5
8,N4,s7eta2,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,3,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,4,7,2
9,N5,s1eta2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,5,1,2
10,N5,s9eta5,1,1,2,1,2,2,1,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,3,2,1,1,2,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,2,2,2,1,1,3,1,1,2,1,2,2,2,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,5,9,5
11,N0,s0eta2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2
12,N2,s7eta5,4,2,2,3,5,3,2,1,3,1,2,3,3,2,2,3,3,2,2,1,2,1,1,3,1,3,2,1,3,3,3,2,3,2,2,1,1,1,2,1,3,3,2,4,2,3,4,2,2,4,2,2,2,3,1,3,1,3,2,2,2,2,3,2,2,2,2,3,3,2,1,3,2,2,2,1,3,2,3,2,2,2,3,2,2,1,3,3,5,3,3,2,2,3,3,4,2,2,3,3,2,7,5
13,N3,s7eta2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,2,1,2,2,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,3,7,2
14,N0,s0eta5,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,3,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,2,3,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,1,1,2,2,1,2,1,2,2,3,1,2,1,2,2,2,2,1,2,1,3,2,2,2,2,1,2,2,2,1,1,2,1,0,0,5
15,N5,s5eta2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,2
16,N2,s3eta2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2
17,N1,s1eta2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
18,N4,s9eta5,1,2,1,1,1,1,2,2,2,1,2,1,1,3,2,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,1,4,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,2,2,1,1,1,3,1,1,1,2,1,1,1,2,1,1,1,2,3,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,2,1,4,9,5
19,N4,s9eta2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,1,3,2,2,3,1,2,2,2,2,2,3,2,2,2,2,1,1,2,2,2,1,2,3,2,3,3,2,2,2,1,1,1,2,2,2,3,2,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,3,3,1,2,2,2,1,2,2,2,2,2,1,2,1,1,2,2,2,4,9,2
20,N1,s5eta8,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,8
21,N1,s9eta8,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,9,8
22,N1,s3eta5,2,3,3,3,3,3,2,2,3,4,2,3,2,3,4,3,2,1,1,2,2,3,1,3,3,3,1,1,1,1,2,3,2,2,3,2,3,4,3,3,3,2,3,2,3,3,3,2,3,5,3,2,3,1,2,2,1,3,2,2,3,3,2,2,3,3,2,2,1,2,1,2,3,1,1,1,3,1,4,4,2,3,1,2,3,2,3,3,1,2,1,3,3,2,2,3,2,2,1,1,1,3,5
23,N1,s1eta8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,3,1,3,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,8
24,N5,s9eta8,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,2,2,2,2,2,1,1,2,1,5,9,8
25,N4,s3eta8,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,3,1,1,1,3,1,1,3,1,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,2,2,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,3,4,3,8
26,N3,s9eta2,2,2,2,2,2,2,2,3,1,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,3,1,2,2,2,3,1,1,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,3,2,1,2,2,2,1,2,2,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,9,2
27,N5,s1eta5,1,3,3,2,2,2,2,2,2,2,2,3,3,2,2,1,2,1,1,2,3,2,1,3,2,3,2,1,2,2,1,3,2,2,3,3,2,4,2,3,1,3,2,3,3,3,3,2,2,3,2,2,3,1,1,2,1,2,4,2,2,3,4,3,2,3,2,2,2,2,4,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,1,1,2,1,1,3,3,5,1,5
28,N0,s0eta8,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,2,0,0,8
29,N3,s3eta2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,3,2
30,N4,s3eta5,1,1,1,1,2,1,1,2,1,1,2,2,3,2,1,2,2,2,2,1,2,3,1,1,2,2,1,2,2,2,1,2,1,2,2,3,1,4,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,3,2,3,2,2,2,1,1,2,1,1,2,1,3,2,2,2,2,1,2,2,2,1,2,3,1,1,2,3,1,2,2,1,2,2,1,2,2,1,1,1,1,2,2,1,2,1,4,3,5
31,N2,s3eta5,1,2,1,1,2,3,1,1,2,1,1,2,3,2,2,1,3,1,2,1,2,1,1,2,1,2,2,2,1,2,1,1,1,2,3,1,2,1,1,2,2,1,2,1,1,2,2,1,3,2,3,3,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,2,1,2,3,1,3,1,2,2,2,1,1,2,2,1,2,1,1,2,1,2,4,1,1,2,1,3,3,2,2,3,5
32,N2,s1eta8,1,3,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,3,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,2,1,1,2,1,2,2,1,2,1,2,1,1,1,2,1,1,1,2,2,1,8
33,N1,s3eta8,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,8
34,N3,s9eta8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,9,8
35,N3,s3eta8,1,1,1,1,1,1,2,1,2,1,1,2,1,1,4,2,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,2,2,1,1,1,1,1,3,3,8
36,N1,s3eta2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2
37,N4,s7eta5,1,2,1,1,2,1,1,2,2,3,1,2,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,2,2,1,2,1,4,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,5,1,1,1,1,2,2,4,7,5
